district_code,district_name,neighbourhood_code,neighbourhood_name,2021_incidents_gestionats_gub
-1,Desconegut,-1,Desconegut,654
1,Ciutat Vella,1,el Raval,720
1,Ciutat Vella,2,el Barri Gòtic,649
1,Ciutat Vella,3,la Barceloneta,642
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",650
2,Eixample,5,el Fort Pienc,637
2,Eixample,6,la Sagrada Família,631
2,Eixample,7,la Dreta de l'Eixample,738
2,Eixample,8,l'Antiga Esquerra de l'Eixample,648
2,Eixample,9,la Nova Esquerra de l'Eixample,664
2,Eixample,10,Sant Antoni,650
3,Sants-Montjuïc,11,el Poble-sec,720
3,Sants-Montjuïc,12,la Marina del Prat Vermell,541
3,Sants-Montjuïc,13,la Marina de Port,568
3,Sants-Montjuïc,14,la Font de la Guatlla,385
3,Sants-Montjuïc,15,Hostafrancs,521
3,Sants-Montjuïc,16,la Bordeta,502
3,Sants-Montjuïc,17,Sants - Badal,507
3,Sants-Montjuïc,18,Sants,653
4,Les Corts,19,les Corts,638
4,Les Corts,20,la Maternitat i Sant Ramon,588
4,Les Corts,21,Pedralbes,492
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",452
5,Sarrià-Sant Gervasi,23,Sarrià,595
5,Sarrià-Sant Gervasi,24,les Tres Torres,473
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,575
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,642
5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,546
6,Gràcia,28,Vallcarca i els Penitents,536
6,Gràcia,29,el Coll,365
6,Gràcia,30,la Salut,473
6,Gràcia,31,la Vila de Gràcia,682
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,553
7,Horta-Guinardó,33,el Baix Guinardó,515
7,Horta-Guinardó,34,Can Baró,402
7,Horta-Guinardó,35,el Guinardó,562
7,Horta-Guinardó,36,la Font d'en Fargues,376
7,Horta-Guinardó,37,el Carmel,564
7,Horta-Guinardó,38,la Teixonera,402
7,Horta-Guinardó,39,Sant Genís dels Agudells,410
7,Horta-Guinardó,40,Montbau,395
7,Horta-Guinardó,41,la Vall d'Hebron,428
7,Horta-Guinardó,42,la Clota,193
7,Horta-Guinardó,43,Horta,609
8,Nou Barris,44,Vilapicina i la Torre Llobeta,514
8,Nou Barris,45,Porta,539
8,Nou Barris,46,el Turó de la Peira,456
8,Nou Barris,47,Can Peguera,261
8,Nou Barris,48,la Guineueta,507
8,Nou Barris,49,Canyelles,367
8,Nou Barris,50,les Roquetes,455
8,Nou Barris,51,Verdun,454
8,Nou Barris,52,la Prosperitat,510
8,Nou Barris,53,la Trinitat Nova,418
8,Nou Barris,54,Torre Baró,329
8,Nou Barris,55,Ciutat Meridiana,431
8,Nou Barris,56,Vallbona,233
9,Sant Andreu,57,la Trinitat Vella,484
9,Sant Andreu,58,Baró de Viver,233
9,Sant Andreu,59,el Bon Pastor,529
9,Sant Andreu,60,Sant Andreu,655
9,Sant Andreu,61,la Sagrera,569
9,Sant Andreu,62,el Congrés i els Indians,465
9,Sant Andreu,63,Navas,477
10,Sant Martí,64,el Camp de l'Arpa del Clot,583
10,Sant Martí,65,el Clot,569
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,591
10,Sant Martí,67,la Vila Olímpica del Poblenou,524
10,Sant Martí,68,el Poblenou,631
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,519
10,Sant Martí,70,el Besòs i el Maresme,556
10,Sant Martí,71,Provençals del Poblenou,544
10,Sant Martí,72,Sant Martí de Provençals,500
10,Sant Martí,73,la Verneda i la Pau,535
